!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
👇🏾	backhand|down|finger|hand|index|medium|dark|skin|tone|point|pointing
👇🏿	backhand|dark|skin|tone|down|finger|hand|index|point|pointing
👈	backhand|finger|hand|index|left|point|pointing
👈🏻	backhand|finger|hand|index|left|light|skin|tone|point|pointing
👈🏼	backhand|finger|hand|index|left|medium|light|skin|tone|point|pointing
👈🏽	backhand|finger|hand|index|left|medium|skin|tone|point|pointing
👈🏾	backhand|finger|hand|index|left|medium|dark|skin|tone|point|pointing
👈🏿	backhand|dark|skin|tone|finger|hand|index|left|point|pointing
👉	backhand|finger|hand|index|point|pointing|right
👉🏻	backhand|finger|hand|index|light|skin|tone|point|pointing|right
👉🏼	backhand|finger|hand|index|medium|light|skin|tone|point|pointing|right
👉🏽	backhand|finger|hand|index|medium|skin|tone|point|pointing|right
👉🏾	backhand|finger|hand|index|medium|dark|skin|tone|point|pointing|right
👉🏿	backhand|dark|skin|tone|finger|hand|index|point|pointing|right
👊	absolutely|agree|boom|bro|bruh|bump|clenched|correct|fist|hand|knuckle|oncoming|pound|punch|rock|ttyl
👊🏻	absolutely|agree|boom|bro|bruh|bump|clenched|correct|fist|hand|knuckle|light|skin|tone|oncoming|pound|punch|rock|ttyl
👊🏼	absolutely|agree|boom|bro|bruh|bump|clenched|correct|fist|hand|knuckle|medium|light|skin|tone|oncoming|pound|punch|rock|ttyl
👊🏽	absolutely|agree|boom|bro|bruh|bump|clenched|correct|fist|hand|knuckle|medium|skin|tone|oncoming|pound|punch|rock|ttyl
👊🏾	absolutely|agree|boom|bro|bruh|bump|clenched|correct|fist|hand|knuckle|medium|dark|skin|tone|oncoming|pound|punch|rock|ttyl
👊🏿	absolutely|agree|boom|bro|bruh|bump|clenched|correct|dark|skin|tone|fist|hand|knuckle|oncoming|pound|punch|rock|ttyl
👋	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|ttfn|ttyl|wave|yo|you|waving
👋🏻	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|light|skin|tone|outtie|ttfn|ttyl|wave|yo|you|waving
👋🏼	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium|light|skin|tone|outtie|ttfn|ttyl|wave|yo|you|waving
👋🏽	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium|skin|tone|outtie|ttfn|ttyl|wave|yo|you|waving
👋🏾	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium|dark|skin|tone|outtie|ttfn|ttyl|wave|yo|you|waving
👋🏿	bye|cya|dark|skin|tone|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|ttfn|ttyl|wave|yo|you|waving
👌	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|ok|okay|pinch|rad|sure|sweet|three
👌🏻	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|light|skin|tone|ok|okay|pinch|rad|sure|sweet|three
👌🏼	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|medium|light|skin|tone|ok|okay|pinch|rad|sure|sweet|three
👌🏽	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|medium|skin|tone|ok|okay|pinch|rad|sure|sweet|three
👌🏾	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|medium|dark|skin|tone|ok|okay|pinch|rad|sure|sweet|three
👌🏿	awesome|bet|dark|skin|tone|dope|fleek|fosho|got|gotcha|hand|legit|ok|okay|pinch|rad|sure|sweet|three
👍	good|hand|like|thumb|up|yes|thumbs
👍🏻	good|hand|light|skin|tone|like|thumb|up|yes|thumbs
👍🏼	good|hand|like|medium|light|skin|tone|thumb|up|yes|thumbs
👍🏽	good|hand|like|medium|skin|tone|thumb|up|yes|thumbs
👍🏾	good|hand|like|medium|dark|skin|tone|thumb|up|yes|thumbs
👍🏿	dark|skin|tone|good|hand|like|thumb|up|yes|thumbs
👎	bad|dislike|down|good|hand|no|nope|thumb|thumbs
👎🏻	bad|dislike|down|good|hand|light|skin|tone|no|nope|thumb|thumbs
👎🏼	bad|dislike|down|good|hand|medium|light|skin|tone|no|nope|thumb|thumbs
👎🏽	bad|dislike|down|good|hand|medium|skin|tone|no|nope|thumb|thumbs
👎🏾	bad|dislike|down|good|hand|medium|dark|skin|tone|no|nope|thumb|thumbs
👎🏿	bad|dark|skin|tone|dislike|down|good|hand|no|nope|thumb|thumbs
👏	applause|approval|awesome|clap|congrats|congratulations|excited|good|great|hand|homie|job|nice|prayed|well|yay|clapping|hands
👏🏻	applause|approval|awesome|clap|congrats|congratulations|excited|good|great|hand|homie|job|light|skin|tone|nice|prayed|well|yay|clapping|hands
👏🏼	applause|approval|awesome|clap|congrats|congratulations|excited|good|great|hand|homie|job|medium|light|skin|tone|nice|prayed|well|yay|clapping|hands
👏🏽	applause|approval|awesome|clap|congrats|congratulations|excited|good|great|hand|homie|job|medium|skin|tone|nice|prayed|well|yay|clapping|hands
👏🏾	applause|approval|awesome|clap|congrats|congratulations|excited|good|great|hand|homie|job|medium|dark|skin|tone|nice|prayed|well|yay|clapping|hands
👏🏿	applause|approval|awesome|clap|congrats|congratulations|dark|skin|tone|excited|good|great|hand|homie|job|nice|prayed|well|yay|clapping|hands
👐	hand|hands|hug|jazz|open|swerve
👐🏻	hand|hands|hug|jazz|light|skin|tone|open|swerve
👐🏼	hand|hands|hug|jazz|medium|light|skin|tone|open|swerve
👐🏽	hand|hands|hug|jazz|medium|skin|tone|open|swerve
👐🏾	hand|hands|hug|jazz|medium|dark|skin|tone|open|swerve
👐🏿	dark|skin|tone|hand|hands|hug|jazz|open|swerve
👑	clothing|crown|family|king|medieval|queen|royal|royalty|win
👒	clothes|clothing|garden|hat|hats|party|woman
👓	clothing|eye|eyeglasses|eyewear|glasses
👔	clothing|employed|necktie|serious|shirt|tie
👕	blue|casual|clothes|clothing|collar|dressed|shirt|shopping|tshirt|weekend
👖	blue|casual|clothes|clothing|denim|dressed|jeans|pants|shopping|trousers|weekend
👗	clothes|clothing|dress|dressed|fancy|shopping
👘	clothing|comfortable|kimono
👙	bathing|beach|bikini|clothing|pool|suit|swim
👚	blouse|clothes|clothing|collar|dress|dressed|lady|shirt|shopping|woman
👛	clothes|clothing|coin|dress|fancy|handbag|purse|shopping
👜	bag|clothes|clothing|dress|handbag|lady|purse|shopping
👝	bag|clothes|clothing|clutch|dress|handbag|pouch|purse
👞	brown|clothes|clothing|feet|foot|kick|man|shoe|shoes|shopping
👟	athletic|clothes|clothing|fast|kick|running|shoe|shoes|shopping|sneaker|tennis
👠	clothes|clothing|dress|fashion|heel|heels|high|heeled|shoe|shoes|shopping|stiletto|woman
👡	clothing|sandal|shoe|woman
👢	boot|clothes|clothing|dress|shoe|shoes|shopping|woman
👣	barefoot|clothing|footprint|footprints|omw|print|walk
👤	bust|mysterious|shadow|silhouette
👥	bff|bust|busts|everyone|friend|friends|people|silhouette
👦	boy|bright|eyed|child|grandson|kid|son|young|younger
👦🏻	boy|bright|eyed|child|grandson|kid|light|skin|tone|son|young|younger
👦🏼	boy|bright|eyed|child|grandson|kid|medium|light|skin|tone|son|young|younger
👦🏽	boy|bright|eyed|child|grandson|kid|medium|skin|tone|son|young|younger
👦🏾	boy|bright|eyed|child|grandson|kid|medium|dark|skin|tone|son|young|younger
👦🏿	boy|bright|eyed|child|dark|skin|tone|grandson|kid|son|young|younger
👧	bright|eyed|child|daughter|girl|granddaughter|kid|virgo|young|younger|zodiac
👧🏻	bright|eyed|child|daughter|girl|granddaughter|kid|light|skin|tone|virgo|young|younger|zodiac
👧🏼	bright|eyed|child|daughter|girl|granddaughter|kid|medium|light|skin|tone|virgo|young|younger|zodiac
👧🏽	bright|eyed|child|daughter|girl|granddaughter|kid|medium|skin|tone|virgo|young|younger|zodiac
👧🏾	bright|eyed|child|daughter|girl|granddaughter|kid|medium|dark|skin|tone|virgo|young|younger|zodiac
👧🏿	bright|eyed|child|dark|skin|tone|daughter|girl|granddaughter|kid|virgo|young|younger|zodiac
👨	adult|bro|man
👨‍⚕	doctor|health|healthcare|man|nurse|therapist|worker
👨‍⚖	judge|justice|law|man|scales
👨‍✈	man|pilot|plane
👨‍❤‍👨	anniversary|babe|bae|couple|dating|heart|kiss|love|man|person|relationship|romance|together|you
👨‍❤‍💋‍👨	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|mwah|person|romance|together|xoxo
👨‍🌾	farmer|gardener|man|rancher
👨‍🍳	chef|cook|man
👨‍🍼	baby|dad|father|feed|feeding|man|nanny|newborn|nursing
👨‍🎓	graduate|man|student
👨‍🎤	actor|entertainer|man|rock|rockstar|singer|star
👨‍🎨	artist|man|palette
👨‍🏫	instructor|lecturer|man|professor|teacher
👨‍🏭	assembly|factory|industrial|man|worker
👨‍👦	boy|child|family|man
👨‍👦‍👦	boy|child|family|man
👨‍👧	child|family|girl|man
👨‍👧‍👦	boy|child|family|girl|man
👨‍👧‍👧	child|family|girl|man
👨‍👨‍👦	boy|child|family|man
👨‍👨‍👦‍👦	boy|child|family|man
👨‍👨‍👧	child|family|girl|man
👨‍👨‍👧‍👦	boy|child|family|girl|man
👨‍👨‍👧‍👧	child|family|girl|man
👨‍👩‍👦	boy|child|family|man|woman
👨‍👩‍👦‍👦	boy|child|family|man|woman
👨‍👩‍👧	child|family|girl|man|woman
👨‍👩‍👧‍👦	boy|child|family|girl|man|woman
👨‍👩‍👧‍👧	child|family|girl|man|woman
👨‍💻	coder|computer|developer|inventor|man|software|technologist
👨‍💼	architect|business|man|manager|office|white|collar|worker
👨‍🔧	electrician|man|mechanic|plumber|tradesperson
👨‍🔬	biologist|chemist|engineer|man|mathematician|physicist|scientist
👨‍🚀	astronaut|man|rocket|space
👨‍🚒	fire|firefighter|firetruck|man
👨‍🦯	accessibility|blind|cane|man|probing|white
👨‍🦯‍➡	accessibility|blind|cane|facing|man|probing|right|white
👨‍🦰	adult|bro|man|red|hair
👨‍🦱	adult|bro|curly|hair|man
👨‍🦲	adult|bald|bro|man
👨‍🦳	adult|bro|man|white|hair
👨‍🦼	accessibility|man|motorized|wheelchair
👨‍🦼‍➡	accessibility|facing|man|motorized|right|wheelchair
👨‍🦽	accessibility|man|manual|wheelchair
👨‍🦽‍➡	accessibility|facing|man|manual|right|wheelchair
👨🏻	adult|bro|light|skin|tone|man
👨🏻‍⚕	doctor|health|healthcare|light|skin|tone|man|nurse|therapist|worker
👨🏻‍⚖	judge|justice|law|light|skin|tone|man|scales
👨🏻‍✈	light|skin|tone|man|pilot|plane
👨🏻‍❤‍👨🏻	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|person|relationship|romance|together|you
👨🏻‍❤‍👨🏼	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|person|relationship|romance|together|you
👨🏻‍❤‍👨🏽	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|person|relationship|romance|together|you
👨🏻‍❤‍👨🏾	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|dark|person|relationship|romance|together|you
👨🏻‍❤‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|light|love|man|person|relationship|romance|together|you
👨🏻‍❤‍💋‍👨🏻	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|mwah|person|romance|together|xoxo
👨🏻‍❤‍💋‍👨🏼	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|mwah|person|romance|together|xoxo
👨🏻‍❤‍💋‍👨🏽	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|mwah|person|romance|together|xoxo
👨🏻‍❤‍💋‍👨🏾	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|dark|mwah|person|romance|together|xoxo
👨🏻‍❤‍💋‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|light|love|man|mwah|person|romance|together|xoxo
👨🏻‍🌾	farmer|gardener|light|skin|tone|man|rancher
👨🏻‍🍳	chef|cook|light|skin|tone|man
👨🏻‍🍼	baby|dad|father|feed|feeding|light|skin|tone|man|nanny|newborn|nursing
👨🏻‍🎓	graduate|light|skin|tone|man|student
👨🏻‍🎤	actor|entertainer|light|skin|tone|man|rock|rockstar|singer|star
👨🏻‍🎨	artist|light|skin|tone|man|palette
👨🏻‍🏫	instructor|lecturer|light|skin|tone|man|professor|teacher
👨🏻‍🏭	assembly|factory|industrial|light|skin|tone|man|worker
👨🏻‍🐰‍👨🏼	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏻‍🐰‍👨🏽	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏻‍🐰‍👨🏾	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|dark|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏻‍🐰‍👨🏿	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|light|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏻‍💻	coder|computer|developer|inventor|light|skin|tone|man|software|technologist
👨🏻‍💼	architect|business|light|skin|tone|man|manager|office|white|collar|worker
👨🏻‍🔧	electrician|light|skin|tone|man|mechanic|plumber|tradesperson
👨🏻‍🔬	biologist|chemist|engineer|light|skin|tone|man|mathematician|physicist|scientist
👨🏻‍🚀	astronaut|light|skin|tone|man|rocket|space
👨🏻‍🚒	fire|firefighter|firetruck|light|skin|tone|man
👨🏻‍🤝‍👨🏼	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|men|twins|holding|hands
👨🏻‍🤝‍👨🏽	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|men|twins|holding|hands
👨🏻‍🤝‍👨🏾	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|dark|men|twins|holding|hands
👨🏻‍🤝‍👨🏿	bae|bestie|bff|boys|brothers|couple|dark|skin|tone|dating|flirt|friends|hand|hold|light|men|twins|holding|hands
👨🏻‍🦯	accessibility|blind|cane|light|skin|tone|man|probing|white
👨🏻‍🦯‍➡	accessibility|blind|cane|facing|light|skin|tone|man|probing|right|white
👨🏻‍🦰	adult|bro|light|skin|tone|man|red|hair
👨🏻‍🦱	adult|bro|curly|hair|light|skin|tone|man
👨🏻‍🦲	adult|bald|bro|light|skin|tone|man
👨🏻‍🦳	adult|bro|light|skin|tone|man|white|hair
👨🏻‍🦼	accessibility|light|skin|tone|man|motorized|wheelchair
👨🏻‍🦼‍➡	accessibility|facing|light|skin|tone|man|motorized|right|wheelchair
👨🏻‍🦽	accessibility|light|skin|tone|man|manual|wheelchair
👨🏻‍🦽‍➡	accessibility|facing|light|skin|tone|man|manual|right|wheelchair
👨🏻‍🫯‍👨🏼	combat|duel|grapple|light|skin|tone|medium|men|ring|tournament|wrestle|wrestling
👨🏻‍🫯‍👨🏽	combat|duel|grapple|light|skin|tone|medium|men|ring|tournament|wrestle|wrestling
👨🏻‍🫯‍👨🏾	combat|duel|grapple|light|skin|tone|medium|dark|men|ring|tournament|wrestle|wrestling
👨🏻‍🫯‍👨🏿	combat|dark|skin|tone|duel|grapple|light|men|ring|tournament|wrestle|wrestling
👨🏼	adult|bro|man|medium|light|skin|tone
👨🏼‍⚕	doctor|health|healthcare|man|medium|light|skin|tone|nurse|therapist|worker
👨🏼‍⚖	judge|justice|law|man|medium|light|skin|tone|scales
👨🏼‍✈	man|medium|light|skin|tone|pilot|plane
👨🏼‍❤‍👨🏻	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|person|relationship|romance|together|you
👨🏼‍❤‍👨🏼	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|light|skin|tone|person|relationship|romance|together|you
👨🏼‍❤‍👨🏽	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|skin|tone|light|person|relationship|romance|together|you
👨🏼‍❤‍👨🏾	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|dark|skin|tone|light|person|relationship|romance|together|you
👨🏼‍❤‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|man|medium|light|person|relationship|romance|together|you
👨🏼‍❤‍💋‍👨🏻	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|mwah|person|romance|together|xoxo
👨🏼‍❤‍💋‍👨🏼	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|light|skin|tone|mwah|person|romance|together|xoxo
👨🏼‍❤‍💋‍👨🏽	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|skin|tone|light|mwah|person|romance|together|xoxo
👨🏼‍❤‍💋‍👨🏾	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|dark|skin|tone|light|mwah|person|romance|together|xoxo
👨🏼‍❤‍💋‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|man|medium|light|mwah|person|romance|together|xoxo
👨🏼‍🌾	farmer|gardener|man|medium|light|skin|tone|rancher
👨🏼‍🍳	chef|cook|man|medium|light|skin|tone
👨🏼‍🍼	baby|dad|father|feed|feeding|man|medium|light|skin|tone|nanny|newborn|nursing
👨🏼‍🎓	graduate|man|medium|light|skin|tone|student
👨🏼‍🎤	actor|entertainer|man|medium|light|skin|tone|rock|rockstar|singer|star
👨🏼‍🎨	artist|man|medium|light|skin|tone|palette
👨🏼‍🏫	instructor|lecturer|man|medium|light|skin|tone|professor|teacher
👨🏼‍🏭	assembly|factory|industrial|man|medium|light|skin|tone|worker
👨🏼‍🐰‍👨🏻	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏼‍🐰‍👨🏽	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|skin|tone|light|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏼‍🐰‍👨🏾	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|dark|skin|tone|light|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏼‍🐰‍👨🏿	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|light|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏼‍💻	coder|computer|developer|inventor|man|medium|light|skin|tone|software|technologist
👨🏼‍💼	architect|business|man|manager|medium|light|skin|tone|office|white|collar|worker
👨🏼‍🔧	electrician|man|mechanic|medium|light|skin|tone|plumber|tradesperson
👨🏼‍🔬	biologist|chemist|engineer|man|mathematician|medium|light|skin|tone|physicist|scientist
👨🏼‍🚀	astronaut|man|medium|light|skin|tone|rocket|space
👨🏼‍🚒	fire|firefighter|firetruck|man|medium|light|skin|tone
👨🏼‍🤝‍👨🏻	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|men|twins|holding|hands
👨🏼‍🤝‍👨🏽	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|medium|skin|tone|light|men|twins|holding|hands
👨🏼‍🤝‍👨🏾	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|medium|dark|skin|tone|light|men|twins|holding|hands
👨🏼‍🤝‍👨🏿	bae|bestie|bff|boys|brothers|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|light|men|twins|holding|hands
👨🏼‍🦯	accessibility|blind|cane|man|medium|light|skin|tone|probing|white
👨🏼‍🦯‍➡	accessibility|blind|cane|facing|man|medium|light|skin|tone|probing|right|white
👨🏼‍🦰	adult|bro|man|medium|light|skin|tone|red|hair
👨🏼‍🦱	adult|bro|curly|hair|man|medium|light|skin|tone
👨🏼‍🦲	adult|bald|bro|man|medium|light|skin|tone
👨🏼‍🦳	adult|bro|man|medium|light|skin|tone|white|hair
👨🏼‍🦼	accessibility|man|medium|light|skin|tone|motorized|wheelchair
👨🏼‍🦼‍➡	accessibility|facing|man|medium|light|skin|tone|motorized|right|wheelchair
👨🏼‍🦽	accessibility|man|manual|medium|light|skin|tone|wheelchair
👨🏼‍🦽‍➡	accessibility|facing|man|manual|medium|light|skin|tone|right|wheelchair
👨🏼‍🫯‍👨🏻	combat|duel|grapple|light|skin|tone|medium|men|ring|tournament|wrestle|wrestling
👨🏼‍🫯‍👨🏽	combat|duel|grapple|medium|skin|tone|light|men|ring|tournament|wrestle|wrestling
👨🏼‍🫯‍👨🏾	combat|duel|grapple|medium|dark|skin|tone|light|men|ring|tournament|wrestle|wrestling
👨🏼‍🫯‍👨🏿	combat|dark|skin|tone|duel|grapple|medium|light|men|ring|tournament|wrestle|wrestling
👨🏽	adult|bro|man|medium|skin|tone
👨🏽‍⚕	doctor|health|healthcare|man|medium|skin|tone|nurse|therapist|worker
👨🏽‍⚖	judge|justice|law|man|medium|skin|tone|scales
👨🏽‍✈	man|medium|skin|tone|pilot|plane
👨🏽‍❤‍👨🏻	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|person|relationship|romance|together|you
👨🏽‍❤‍👨🏼	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|skin|tone|light|person|relationship|romance|together|you
👨🏽‍❤‍👨🏽	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|skin|tone|person|relationship|romance|together|you
👨🏽‍❤‍👨🏾	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|skin|tone|dark|person|relationship|romance|together|you
👨🏽‍❤‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|man|medium|person|relationship|romance|together|you
👨🏽‍❤‍💋‍👨🏻	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|mwah|person|romance|together|xoxo
👨🏽‍❤‍💋‍👨🏼	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|skin|tone|light|mwah|person|romance|together|xoxo
👨🏽‍❤‍💋‍👨🏽	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|skin|tone|mwah|person|romance|together|xoxo
👨🏽‍❤‍💋‍👨🏾	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|skin|tone|dark|mwah|person|romance|together|xoxo
👨🏽‍❤‍💋‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|man|medium|mwah|person|romance|together|xoxo
👨🏽‍🌾	farmer|gardener|man|medium|skin|tone|rancher
👨🏽‍🍳	chef|cook|man|medium|skin|tone
👨🏽‍🍼	baby|dad|father|feed|feeding|man|medium|skin|tone|nanny|newborn|nursing
👨🏽‍🎓	graduate|man|medium|skin|tone|student
👨🏽‍🎤	actor|entertainer|man|medium|skin|tone|rock|rockstar|singer|star
👨🏽‍🎨	artist|man|medium|skin|tone|palette
👨🏽‍🏫	instructor|lecturer|man|medium|skin|tone|professor|teacher
👨🏽‍🏭	assembly|factory|industrial|man|medium|skin|tone|worker
👨🏽‍🐰‍👨🏻	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏽‍🐰‍👨🏼	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|skin|tone|light|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏽‍🐰‍👨🏾	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|skin|tone|dark|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏽‍🐰‍👨🏿	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏽‍💻	coder|computer|developer|inventor|man|medium|skin|tone|software|technologist
👨🏽‍💼	architect|business|man|manager|medium|skin|tone|office|white|collar|worker
👨🏽‍🔧	electrician|man|mechanic|medium|skin|tone|plumber|tradesperson
👨🏽‍🔬	biologist|chemist|engineer|man|mathematician|medium|skin|tone|physicist|scientist
👨🏽‍🚀	astronaut|man|medium|skin|tone|rocket|space
👨🏽‍🚒	fire|firefighter|firetruck|man|medium|skin|tone
👨🏽‍🤝‍👨🏻	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|men|twins|holding|hands
👨🏽‍🤝‍👨🏼	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|medium|skin|tone|light|men|twins|holding|hands
👨🏽‍🤝‍👨🏾	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|medium|skin|tone|dark|men|twins|holding|hands
👨🏽‍🤝‍👨🏿	bae|bestie|bff|boys|brothers|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|men|twins|holding|hands
👨🏽‍🦯	accessibility|blind|cane|man|medium|skin|tone|probing|white
👨🏽‍🦯‍➡	accessibility|blind|cane|facing|man|medium|skin|tone|probing|right|white
👨🏽‍🦰	adult|bro|man|medium|skin|tone|red|hair
👨🏽‍🦱	adult|bro|curly|hair|man|medium|skin|tone
👨🏽‍🦲	adult|bald|bro|man|medium|skin|tone
👨🏽‍🦳	adult|bro|man|medium|skin|tone|white|hair
👨🏽‍🦼	accessibility|man|medium|skin|tone|motorized|wheelchair
👨🏽‍🦼‍➡	accessibility|facing|man|medium|skin|tone|motorized|right|wheelchair
👨🏽‍🦽	accessibility|man|manual|medium|skin|tone|wheelchair
👨🏽‍🦽‍➡	accessibility|facing|man|manual|medium|skin|tone|right|wheelchair
👨🏽‍🫯‍👨🏻	combat|duel|grapple|light|skin|tone|medium|men|ring|tournament|wrestle|wrestling
👨🏽‍🫯‍👨🏼	combat|duel|grapple|medium|skin|tone|light|men|ring|tournament|wrestle|wrestling
👨🏽‍🫯‍👨🏾	combat|duel|grapple|medium|skin|tone|dark|men|ring|tournament|wrestle|wrestling
👨🏽‍🫯‍👨🏿	combat|dark|skin|tone|duel|grapple|medium|men|ring|tournament|wrestle|wrestling
👨🏾	adult|bro|man|medium|dark|skin|tone
👨🏾‍⚕	doctor|health|healthcare|man|medium|dark|skin|tone|nurse|therapist|worker
👨🏾‍⚖	judge|justice|law|man|medium|dark|skin|tone|scales
👨🏾‍✈	man|medium|dark|skin|tone|pilot|plane
👨🏾‍❤‍👨🏻	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|dark|person|relationship|romance|together|you
👨🏾‍❤‍👨🏼	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|dark|skin|tone|light|person|relationship|romance|together|you
👨🏾‍❤‍👨🏽	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|skin|tone|dark|person|relationship|romance|together|you
👨🏾‍❤‍👨🏾	anniversary|babe|bae|couple|dating|heart|kiss|love|man|medium|dark|skin|tone|person|relationship|romance|together|you
👨🏾‍❤‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|man|medium|person|relationship|romance|together|you
👨🏾‍❤‍💋‍👨🏻	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|dark|mwah|person|romance|together|xoxo
👨🏾‍❤‍💋‍👨🏼	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|dark|skin|tone|light|mwah|person|romance|together|xoxo
👨🏾‍❤‍💋‍👨🏽	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|skin|tone|dark|mwah|person|romance|together|xoxo
